ACCE_ABSORB_COST	Costo dell'assorbimento: %d
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Ora non puoi partecipare. Sarà possibile partecipare di nuovo a partire dalle ore 05:00.
GUILD_BANKINFO_CLOSE	Chiudi
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TYPE	Oggetto/Valuta
GUILD_BANKINFO_USETYPE	Offerta
GUILD_BANK_CLOSE	Chiudi
GUILD_BANK_INFO	Log Magazzino della Gilda
GUILD_BOARD_ID	Membro
GUILD_BOARD_TEXT	Messaggio
GUILD_BUILDING_FIX_CHANGE	Vuoi davvero cambiare posizione?
GUILD_BUILDING_FIX_CHANGE_GOLD	Costo: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Vuoi davvero eliminare l'oggetto?
GUILD_BUILDING_FIX_NEED_BUILDING	Non ci sono edifici disponibili.
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_NAME	Nome della costruzione
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'energia dello spirito del drago è completamente rigenerata.
GUILD_COMMENT	Scrivi
GUILD_CREATE_ERROR_INSULT_NAME	Nome della Gilda non consentito.
GUILD_DEFAULT_GRADE	Membro della Gilda
GUILD_DELETE	Cancella
GUILD_DEPOSIT	Deposita
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Non hai abbastanza Buoni Donazione generosa.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Il tuo inventario è pieno. Non puoi fare donazioni.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Il tuo personaggio deve aver raggiunto almeno il livello 30.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Non hai abbastanza Buoni Donazione media.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Non hai abbastanza Yang.
GUILD_DONATE_FAIL_TIME	Ci vediamo tra 24 ore!
GUILD_DONATE_QUESTION_HIGH	Vuoi fare una Donazione generosa?
GUILD_DONATE_QUESTION_MIDDLE	Vuoi fare una Donazione media?
GUILD_DONATE_QUESTION_NORMAL	Vuoi fare una Donazione minima?
GUILD_DO_YOU_HEAL_GSP	Desideri spendere %d Yang per rigenerare %d unità di spirito del drago?
GUILD_DO_YOU_JOIN	  ti ha invitato. Desideri entrare nella Gilda?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_PARTY_ALL	Classifica generale
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	dall'11º posto: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Aiuto
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1º posto: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4° - 10º posto: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2° - 3º posto: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membri
GUILD_DRAGONLAIR_PARTY_NOW	Classifica settimanale
GUILD_DRAGONLAIR_PARTY_PAST	Classifica precedente
GUILD_DRAGONLAIR_PARTY_TIME	Tempo
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Ricompensa
GUILD_DRAGONLAIR_RANKING_FAIL	TENTATIVO FALLITO
GUILD_DRAGONLAIR_RANKING_NONE	NOVITÀ
GUILD_DRAGONLAIR_RANKING_SUCCESS	CE L'HAI FATTA!
GUILD_DRAGONLAIR_SECOND	Sec.
GUILD_EMPTY_AREA	Terra di nessuno
GUILD_ENEMY_GUILD_NAME	Nome della Gilda avversaria
GUILD_FACILITY	Edificio secondario
GUILD_GEM	Pietra preziosa
GUILD_HEADQUARTER	Edificio principale
GUILD_HEAL_GSP	Rigenera lo spirito del drago
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_MARK_NOT_ENOUGH_LEVEL	È richiesto minimo livello 3
GUILD_MARK_UPLOAD_NOTICE	Attendi per poter registrare i loghi della gilda.
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Guerriero
GUILD_MEMBER_LEVEL	Livello
GUILD_MEMBER_NAME	Membro
GUILD_MEMBER_RANK	Rango
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP donati
GUILD_NAME	Nome della Gilda
GUILD_NOT_ENOUGH_MATERIAL	Non possiedi abbastanza materiale per questo edificio.
GUILD_NOT_ENOUGH_MONEY	Non possiedi abbastanza Yang per questo edificio.
GUILD_NO_NOTICE_PERMISSION	Non sei autorizzato a fare un annuncio.
GUILD_OBJECT	Oggetti
GUILD_OFFER_EXP	Esperienza da investire
GUILD_SHORT_EXP	Non hai abbastanza punti esperienza.
GUILD_TILE_BASEINFO	Informazioni terreno
GUILD_TILE_BOARD	Appunti della gilda
GUILD_TILE_GRADE	Amministra diritti
GUILD_TILE_INFO	Informazioni della Gilda
GUILD_TILE_MEMBER	Membri
GUILD_TILE_SKILL	Abilità della Gilda
GUILD_USE_MASTER_ONLY	Solo il Capo della gilda è in possesso di tale diritto.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Area della Guerra tra Gilde
GUILD_WAR2	Area della Guerra tra Gilde
GUILD_WAR3	Area della Guerra tra Gilde
GUILD_WAR4	Area della Guerra tra Gilde
GUILD_WAR_GAINSCORE_FIFTY	50 punti
GUILD_WAR_GAINSCORE_HUNDRED	100 punti
GUILD_WAR_GAINSCORE_THIRTY	30 punti
GUILD_WAR_GAMETIME_SIXTY	60 minuti
GUILD_WAR_GAMETIME_TEN	10 minuti
GUILD_WAR_GAMETIME_THIRTY	30 minuti
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minuti
GUILD_WAR_REWARD_POTION	Ricompensa: Il vincitore riceve pozioni.
GUILD_WAR_SELECT_WAR	Seleziona tipo di battaglia
GUILD_WAR_TYPE_DEFENSE	Battaglia difensiva
GUILD_WAR_TYPE_DIE	Battaglia arena
GUILD_WAR_TYPE_FLAG	Battaglia per la bandiera
GUILD_WAR_TYPE_NORMAL	Battaglia campale
GUILD_WAR_TYPE_TIGER	Battaglia di annientamento
GUILD_WAR_TYPE_TIME	Attacco a tempo
GUILD_WAR_USE_BATTLE_MAP	Usa il campo di battaglia della Gilda
GUILD_WAR_USE_NORMAL_MAP	Luogo: mappa normale
GUILD_WAR_WIN_CHECK_SCORE	Chi ha il risultato maggiore vince la guerra.
GUILD_WAR_WIN_FIVE	Cinque round
GUILD_WAR_WIN_ONE	Un round
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandiera dell'avversario
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e portala alla tua base
GUILD_WAR_WIN_THREE	Tre round
GUILD_WAR_WIN_WIPE_OUT_GUILD	Per vincere distruggi tutti i tuoi avversari.
GUILD_WITHDRAW	Ritirata
GUILD_YOU_DO_NOT_JOIN	Non appartieni a nessuna Gilda
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Denutrito
HORSE_HEALTH2	Affamato
HORSE_HEALTH3	Sazio
HORSE_LEVEL1	Cavallo normale
HORSE_LEVEL2	Cavallo da Battaglia
HORSE_LEVEL3	Cavallo militare
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Desideri lasciar cadere %s ?
HOW_MANY_ITEM_DO_YOU_DROP2	Desideri lasciar cadere %s %d ?
INPUT_MATRIX_CARD_NUMBER	Inserire numer omatrix della carta
INPUT_MATRIX_CARD_TITLE	Matrix della carta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Inserisci qui il codice che hai inserito nell'iscrizione
INPUT_PRIVATE_CODE_DIALOG_TITLE	Cancella personaggio
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Il papiro del ritorno non può essere unito.
INVENTORY_REALLY_USE_ITEM	Vuoi usare l'item su questo oggetto?
INVENTORY_REALLY_USE_ITEM2	Vuoi veramente utilizzare questo oggetto?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Vuoi veramente mettere il tuo pet nel Trasportino?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Vuoi aprire il Trasportino?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Vuoi dare %s a %s perché lo mangi?
IS_NOT_PET_CHANGE_ITEM	Questo non è l'item Incanta pet.
IS_NOT_PET_ITEM	Questo non è un pet.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Nessuno
JOB_ASSASSIN1	Vicininja
JOB_ASSASSIN2	Lontaninja
JOB_SHAMAN	Shamano
JOB_SHAMAN0	Nessuno
JOB_SHAMAN1	Shamano del drago
JOB_SHAMAN2	Shamano della guarigione
JOB_SURA	Sura
JOB_SURA0	Nessuno
JOB_SURA1	Sura delle armi
JOB_SURA2	Sura della magia
JOB_WARRIOR	Guerriero
JOB_WARRIOR0	Nessuno
JOB_WARRIOR1	Guerriero corporale
JOB_WARRIOR2	Guerriero mentale
JOB_WOLFMAN	Lican
JOB_WOLFMAN0	Lican principiante
JOB_WOLFMAN1	Istinto
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Chiudere o salvare?
KEYCHANGE_IMPOSSIBLE_CHANGE	Qui [Ctrl], [Alt] e [Shift] non sono ammessi!
KEYCHANGE_SAVE_EXIT	Chiudere o salvare?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	MAIUSC + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	MAIUSC + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	MAIUSC + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	MAIUSC + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	MAIUSC + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	MAIUSC + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	MAIUSC + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	MAIUSC + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	MAIUSC + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	MAIUSC + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	MAIUSC + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	MAIUSC + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	MAIUSC + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	MAIUSC + C
KEY_D	D
KEY_DOWN	GIÙ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	MAIUSC + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	MAIUSC + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	MAIUSC + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	MAIUSC + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	MAIUSC + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	MAIUSC + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	MAIUSC + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	MAIUSC + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	MAIUSC + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	MAIUSC + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	MAIUSC + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	MAIUSC + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	MAIUSC + F
KEY_G	G
KEY_GRAVE	\
KEY_GRAVE_LALT	ALT + \
KEY_GRAVE_LCONTROL	CTRL + \
KEY_GRAVE_LSHIFT	MAIUSC + \
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	MAIUSC + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	MAIUSC + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	MAIUSC + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	MAIUSC + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	MAIUSC + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	SINISTRA
KEY_LSHIFT	MAIUSC
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	MAIUSC + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	MAIUSC + M
KEY_N	N
KEY_NUMLOCK	BLOC NUM
KEY_NUMPAD0	TastNum 0
KEY_NUMPAD1	TastNum 1
KEY_NUMPAD2	TastNum 2
KEY_NUMPAD3	TastNum 3
KEY_NUMPAD4	TastNum 4
KEY_NUMPAD5	TastNum 5
KEY_NUMPAD6	TastNum 6
KEY_NUMPAD7	TastNum 7
KEY_NUMPAD8	TastNum 8
KEY_NUMPAD9	TastNum 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	MAIUSC + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	MAIUSC + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	MAIUSC + .
KEY_PGDN	PGGIÙ
KEY_PGUP	PGSU
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	MAIUSC + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	MAIUSC + Q
KEY_R	R
KEY_RIGHT	DESTRA
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	MAIUSC + R
KEY_S	S
KEY_SPACE	SPAZIO
KEY_SUBTRACT	-
KEY_SYSRQ	STAMP
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	MAIUSC + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	MAIUSC + T
KEY_U	U
KEY_UP	SU
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	MAIUSC + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	MAIUSC + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	MAIUSC + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	MAIUSC + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	MAIUSC + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	MAIUSC + Z
LEADER_NAME	Nome del capo
LEFT_TIME	Tempo rimanente
LIMIT_LEVEL_GUILD	Livello gilda: %d
LOGIN_CONNECT_FAILURE	Errore di collegamento con il server.
LOGIN_CONNECT_SUCCESS	Sei stato collegato al server.
LOGIN_CONNETING	Attendi, connessione al server in corso.
LOGIN_FAILURE_ALREAY	Il tuo account è già collegato!
LOGIN_FAILURE_BACKEND_ERR	Si è verificato un errore. Ti preghiamo di contattare il supporto.
LOGIN_FAILURE_BE_SAME_KEY	Problema d'iscrizione
LOGIN_FAILURE_BLOCK_ID	Questo account è bloccato.
LOGIN_FAILURE_BLOCK_LOGIN	Sei pregato di scegliere un altro server!
LOGIN_FAILURE_COUNTRY_ERR	Il codice del Paese non è corretto.\nTi preghiamo di contattare il supporto.
LOGIN_FAILURE_INTEGRTING	Questo account è in fase di fusione. Riprova più tardi.
LOGIN_FAILURE_IOVATION_ERR	Si è verificato un errore. Rivolgiti al nostro supporto.
LOGIN_FAILURE_NOBILL	Il tuo account non presenta alcun tempo di gioco.
LOGIN_FAILURE_NOT_AVAIL	L'account non è disponibile.
LOGIN_FAILURE_NOT_EXIST_ID	Nome account o password errati.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	È necessario verificare il tuo account via e-mail.
LOGIN_FAILURE_REPAIR_ID	È in corso il ripristino di alcuni oggetti per questo account.
LOGIN_FAILURE_SAMELOGIN	Qualcuno si è collegato al tuo account.
LOGIN_FAILURE_SHUTDOWN	Il server non è ancora aperto.
LOGIN_FAILURE_STEAM_SESSION	La sessione è scaduta. Riavvia il client.
LOGIN_FAILURE_TNT_SESSION	Impossibile aprire il client. Riavvia il launcher ed effettua il login.
LOGIN_FAILURE_TOO_MANY_USER	Non sei riuscito a connetterti perchè ci sono troppi giocatori
LOGIN_FAILURE_UNKNOWN	Non sei riuscito a connetterti per ragioni sconosciute.
LOGIN_FAILURE_WEB_BLOCK	È stato bloccato sulla pagina web. Per favore controlli la sua e-mail
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Hai inserito un numero sbagliato.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Hai inserito per tre volte un numero sbagliato. La connessione è stata conclusa.
LOGIN_FAILURE_WRONG_PASSWORD	Nome account o password errati.
LOGIN_INPUT_ID	Inserisci l'ID.
LOGIN_INPUT_PASSWORD	Inserisci la password.
LOGIN_PROCESSING	È in corso il login.
LUCKY_BOX_DIALOG_RECV_TEXT	Vuoi accettare l'item?
LUCKY_BOX_DIALOG_RETRY_TEXT	Vuoi tentare di nuovo?
MAILBOX_FAIL_USE_TIME_LIMIT	Aggiornamento della casella di posta in corso. Riprova più tardi.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Nessun messaggio
MAILBOX_POST_ALL_DELETE_QUESTION1	Eliminare tutti i messaggi?
MAILBOX_POST_ALL_DELETE_QUESTION2	I messaggi con allegato non verranno eliminati.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	La tua casella di posta non contiene alcun messaggio con allegato.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accettare allegato? (Imposte per Yang: 5%)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Non è stato possibile eliminare il messaggio. Devi prima accettare l'allegato.
MAILBOX_POST_DELETE_QUESTION	Vuoi davvero eliminare questo messaggio?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Non è stato possibile accettare gli item. Il tuo inventario è pieno.
MAILBOX_POST_GET_ITEMS_QUESTION	Accettare allegato? (Imposte per Yang: 5%)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Non puoi più accettare alcuno Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Non puoi più accettare alcuno Yang.
MAILBOX_POST_GM_ARRIVE	Messaggio del GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Messaggi non letti: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Senza allegato: %d / Con allegato: %d
MAILBOX_POST_READ_BLOCK	Vuoi davvero bloccare %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Ogni messaggio può contenere un solo item.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Distribuisci gli item nel tuo inventario prima di allegarli singolarmente a un messaggio.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Destinatario sconosciuto. Non è stato possibile inviare il messaggio.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	La casella di posta del destinatario è piena. Non è stato possibile inviare il messaggio.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Puoi inviare messaggi a partire dal livello 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Non hai abbastanza Yang per poter inviare questo messaggio.
MAILBOX_POST_WRITE_NAME_CHECK	Conferma il nome del destinatario cliccando su "Verifica destinatario".
MAILBOX_POST_WRITE_NAME_EMPTY	Digita un destinatario.
MAILBOX_POST_WRITE_QUESTION1	Vuoi inviare un messaggio a %s adesso?
MAILBOX_POST_WRITE_QUESTION2	Costo della consegna: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Digita un destinatario.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Digita un oggetto.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Somma di denaro
MAILBOX_POST_WRITE_WRONG_ITEM	Non si possono inviare item legati all'anima.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Il messaggio contiene parole vietate.
MAILBOX_POST_WRITE_WRONG_TITLE	L'oggetto contiene parole vietate.
MALL_CANNOT_INSERT	Non puoi collocare l'oggetto.
MALL_PASSWORD_TITLE	Password
MAP_A1	Zona Yongan
MAP_A2	Valle di Seungryong
MAP_A2_1	
MAP_A3	Zona Yayang
MAP_AG	Jungrang
MAP_B1	Zona Joan
MAP_B2	Valle di Imji
MAP_B3	Zona Bokjung
MAP_BATTLE_FIELD	Zona di combattimento
MAP_BAY	Baia Nefrite
MAP_BAYBLACKSAND	Baia Nefrite
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	RSV: Foresta Incantata
MAP_BOSS_AWAKEN_FLAME	RSV: Fortezza Drago Rosso
MAP_BOSS_AWAKEN_SKIPIA	RSV: Grotta dell'Esilio
MAP_BOSS_AWAKEN_SNOW	RSV: Torre Vedetta Nemere
MAP_BOSS_CRACK_DAWNMIST	FT: Foresta Incantata
MAP_BOSS_CRACK_FLAME	FT: Fortezza Drago Rosso
MAP_BOSS_CRACK_SKIPIA	FT: Grotta dell'Esilio
MAP_BOSS_CRACK_SNOW	FT: Torre Vedetta Nemere
MAP_BOSS_LABYRINTH	Altopiano delle Illusioni
MAP_C1	Zona Pyungmoo
MAP_C2	Valle di Bangsan
MAP_C3	Zona Bakra
MAP_CAPE	Capo Fuoco del Drago
MAP_CAPEDRAGONHEAD	Capo Fuoco del Drago
MAP_CG	Imha
MAP_CZ_DUNGEON	Tempio dello Zodiaco
MAP_DAWN	Falesia di Gautama
MAP_DAWNMISTWOOD	Falesia di Gautama
MAP_DAWNMIST_DUNGEON_01	Foresta Incantata
MAP_DEFENSE_WAVE	Difesa nave
MAP_DEFENSE_WAVE_PORT	Porto
MAP_DESERT	Deserto Yongbi
MAP_DEVILCATACOMB	Catacomba del Diavolo
MAP_DEVILTOWER1	Torre dei Demoni
MAP_DUEL	Arena Esercitazioni Belliche
MAP_E	Colonia
MAP_EMPIREWAR01	Battaglia per il Castello
MAP_EMPIREWAR02	Battaglia per il Castello
MAP_EMPIREWAR03	Battaglia per il Castello
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palazzo del Re Drago
MAP_HOLYPLACE_DESERT	Terra dei Deserti - Guerra dei Regni
MAP_HOLYPLACE_FLAME	Terra di Fuoco - Guerra dei Regni
MAP_HOLYPLACE_ICE	Terra dei Ghiacci - Guerra dei Regni
MAP_MILGYO	Tempio Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Dungeon blu – liv. 40-80
MAP_MINIBOSS_02	Dungeon rosso – dal liv. 81
MAP_MISTS_OF_ISLAND	Isole Nebulose
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Monti Tonanti
MAP_MT_TH_DUNGEON_01	Tempio degli Ochao
MAP_NUSLUCK	Terra Giganti
MAP_NUSLUCK01	Terra dei Giganti
MAP_N_DESERT_01	Deserto Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Terra di Fuoco
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Rifugio di Meley
MAP_N_FLAME_DUNGEON_01	Fortezza del Drago Rosso
MAP_N_SNOWM_01	Monte Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Torre di Vedetta di Nemere
MAP_N_THREEWAY	Valle di Seungryong
MAP_OXEVENT	Gara OX
MAP_PATHWAY_DESERT_01	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_DESERT_02	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_DESERT_03	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_FLAME_01	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_FLAME_02	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_FLAME_03	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_ICE_01	Terra dei Ghiacci - Guerra dei Regni
MAP_PATHWAY_ICE_02	Spassolandia
MAP_PATHWAY_ICE_03	Terra dei Ghiacci - Guerra dei Regni
MAP_SKELTOWER	Torre di Gumsan
MAP_SKIPIA_DUNGEON_01	Grotta dell'Esilio
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grotta dell'Esilio 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Stanza del Drago
MAP_SKIPIA_DUNGEON_BOSS_1	Sotterraneo dei Ragni 1
MAP_SKIPIA_DUNGEON_BOSS_2	Sotterraneo dei Ragni 2
MAP_SKIPIA_DUNGEON_BOSS_3	Sotterraneo dei Ragni 3
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Sotterraneo dei Ragni 1
MAP_SPIDERDUNGEON_02	Sotterraneo dei Ragni 2
