ACCE_ABSORB_COST	Absorberrings pris: %d
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Du har ikke nok Store Donations Billetter.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Dit inventar er fyldt. Du kan ikke donere.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Din karakter skal mindst være level 30.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Du har ikke nok Mellem Donations Billetter.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Ikke nok Yang.
GUILD_DONATE_FAIL_TIME	Vi ses om 24 timer!
GUILD_DONATE_QUESTION_HIGH	Ønsker du at lave en Stor Donation?
GUILD_DONATE_QUESTION_MIDDLE	Ønsker du at lave en Mellem Donation?
GUILD_DONATE_QUESTION_NORMAL	Ønsker du at lave en Lille Donation?
GUILD_DO_YOU_HEAL_GSP	Vil du bruge %d Yang for at reproducere %d stykker drageånd?
GUILD_DO_YOU_JOIN	 har inviteret dig. Vil du tilslutte dig ordenen?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Samlede Rangliste
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11 Plads og Mindre: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Hjælp
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1 Plads: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10 Plads: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3 Plads: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Medlemmer
GUILD_DRAGONLAIR_PARTY_NOW	Ugentlig Rangliste
GUILD_DRAGONLAIR_PARTY_PAST	Forrige Rangliste
GUILD_DRAGONLAIR_PARTY_TIME	Tid
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Belønning
GUILD_DRAGONLAIR_RANKING_FAIL	MISLYKKEDES
GUILD_DRAGONLAIR_RANKING_NONE	NY
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES
GUILD_DRAGONLAIR_SECOND	sek.
GUILD_EMPTY_AREA	Tomt areal
GUILD_ENEMY_GUILD_NAME	Fjendens Ordensnavn
GUILD_FACILITY	Sidebygning
GUILD_GEM	Ædelsten
GUILD_HEADQUARTER	Hovedbygning
GUILD_HEAL_GSP	Gendan drageånd.
GUILD_INFO_ENEMY_GUILD_EMPTY	Ingen
GUILD_MARK_NOT_ENOUGH_LEVEL	Level skal minimum være 3
GUILD_MARK_UPLOAD_NOTICE	Vent venligst et øjeblik så du kan tilføje ordens logoer.
GUILD_MEMBER_JOB	Karakterklasse
GUILD_MEMBER_KNIGHT	Krigsdeltager
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Medlem
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Donéret EXP
GUILD_NAME	Ordensnavn
GUILD_NOT_ENOUGH_MATERIAL	Du har ikke materialer nok til denne bygningen.
GUILD_NOT_ENOUGH_MONEY	Du har ikke Yang nok til denne bygningen.
GUILD_NO_NOTICE_PERMISSION	Du har ingen rettigheder til bekendtgørelser.
GUILD_OBJECT	Objekter
GUILD_OFFER_EXP	Investere erfaring
GUILD_SHORT_EXP	Ikke nok erfaring.
GUILD_TILE_BASEINFO	Område Informationer
GUILD_TILE_BOARD	Ordens Meddelelser
GUILD_TILE_GRADE	Forvaltning af rettigheder
GUILD_TILE_INFO	Ordensinformationer
GUILD_TILE_MEMBER	Medlem
GUILD_TILE_SKILL	Ordensfærdigheder
GUILD_USE_MASTER_ONLY	Kun ordenslederen har denne rettighed.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Ordenskrigs område
GUILD_WAR2	Ordenskrigs område
GUILD_WAR3	Ordenskrigs område
GUILD_WAR4	Ordenskrigs område
GUILD_WAR_GAINSCORE_FIFTY	50 point
GUILD_WAR_GAINSCORE_HUNDRED	100 point
GUILD_WAR_GAINSCORE_THIRTY	30 point
GUILD_WAR_GAMETIME_SIXTY	60 minutter
GUILD_WAR_GAMETIME_TEN	10 minutter
GUILD_WAR_GAMETIME_THIRTY	30 minutter
GUILD_WAR_LIMIT_30MIN	Tid: 30 Minutter
GUILD_WAR_REWARD_POTION	Belønning: Vinderen får eliksirer.
GUILD_WAR_SELECT_WAR	Vælg type
GUILD_WAR_TYPE_DEFENSE	Skjold Kamp
GUILD_WAR_TYPE_DIE	Arena Kamp
GUILD_WAR_TYPE_FLAG	Fang Flaget
GUILD_WAR_TYPE_NORMAL	Kampfelt
GUILD_WAR_TYPE_TIGER	Udslettelse
GUILD_WAR_TYPE_TIME	Tids Angreb
GUILD_WAR_USE_BATTLE_MAP	Sted: Ordenskrig Arena
GUILD_WAR_USE_NORMAL_MAP	Sted: Normal kort
GUILD_WAR_WIN_CHECK_SCORE	Højest resultat vinder krigen.	
GUILD_WAR_WIN_FIVE	5 runder
GUILD_WAR_WIN_ONE	1 runde
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Få fat i fjendens flag
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	og bring det til din base.
GUILD_WAR_WIN_THREE	3 runder
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besejre alle fjender for at vinde.
GUILD_WITHDRAW	Tilbagetræk
GUILD_YOU_DO_NOT_JOIN	Du er ikke medlem i nogen Orden.
HORSE_HEALTH0	Død
HORSE_HEALTH1	Sulter
HORSE_HEALTH2	Sulten
HORSE_HEALTH3	Fuld
HORSE_LEVEL1	Normal hest
HORSE_LEVEL2	Krigs hest
HORSE_LEVEL3	Militærhest
HOUR	t
HOW_MANY_ITEM_DO_YOU_DROP1	Ønsker du at smide %s væk?
HOW_MANY_ITEM_DO_YOU_DROP2	Vil du smide %s %d væk
INPUT_MATRIX_CARD_NUMBER	Indtast matrix-kortnr.
INPUT_MATRIX_CARD_TITLE	Matrix-kort
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Indtast slet-koden fra din account-forvaltning.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Slet karakter
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Dokumenter kan ikke sammenføres.
INVENTORY_REALLY_USE_ITEM	Brug genstand på denne genstand?
INVENTORY_REALLY_USE_ITEM2	Ønsker du virkelig at bruge denne genstand?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Ønsker du virkelig at komme dit kæledyr i Transportkassen?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Ønsker du at åbne en Transportkasse?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Ønsker du at fodre %s til %s?
IS_NOT_PET_CHANGE_ITEM	Det er ikke et Fortryl Kæledyr genstand.
IS_NOT_PET_ITEM	Det er ikke et kæledyr.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ingen
JOB_ASSASSIN1	Nærkamp Ninja
JOB_ASSASSIN2	Distancekamp Ninja
JOB_SHAMAN	Shaman	
JOB_SHAMAN0	Ingen
JOB_SHAMAN1	Dragemagt Shaman
JOB_SHAMAN2	Helbredelses Shaman
JOB_SURA	Sura
JOB_SURA0	Ingen
JOB_SURA1	Magi-våben Sura
JOB_SURA2	Sort-magi Sura
JOB_WARRIOR	Kriger
JOB_WARRIOR0	Ingen
JOB_WARRIOR1	Kampstyrke Kriger
JOB_WARRIOR2	Mentalstyrke Kriger
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Amatør Lycan
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Forlad uden af at gemme?
KEYCHANGE_IMPOSSIBLE_CHANGE	[Ctrl], [Alt], [Shift] er ikke tilladt her!
KEYCHANGE_SAVE_EXIT	Gem og luk?
KEY_0	0
KEY_0_LALT	Alt + 0
KEY_0_LCONTROL	Ctrl + 0
KEY_0_LSHIFT	Shift + 0
KEY_1	1
KEY_1_LALT	Alt + 1
KEY_1_LCONTROL	Ctrl + 1
KEY_1_LSHIFT	Shift + 1
KEY_2	2
KEY_2_LALT	Alt + 2
KEY_2_LCONTROL	Ctrl + 2
KEY_2_LSHIFT	Shift + 2
KEY_3	3
KEY_3_LALT	Alt + 3
KEY_3_LCONTROL	Ctrl + 3
KEY_3_LSHIFT	Shift + 3
KEY_4	4
KEY_4_LALT	Alt + 4
KEY_4_LCONTROL	Ctrl + 4
KEY_4_LSHIFT	Shift + 4
KEY_5	5
KEY_5_LALT	Alt + 5
KEY_5_LCONTROL	Ctrl + 5
KEY_5_LSHIFT	Shift + 5
KEY_6	6
KEY_6_LALT	Alt + 6
KEY_6_LCONTROL	Ctrl + 6
KEY_6_LSHIFT	Shift + 6
KEY_7	7
KEY_7_LALT	Alt + 7
KEY_7_LCONTROL	Ctrl + 7
KEY_7_LSHIFT	Shift + 7
KEY_8	8
KEY_8_LALT	Alt + 8
KEY_8_LCONTROL	Ctrl + 8
KEY_8_LSHIFT	Shift + 8
KEY_9	9
KEY_9_LALT	Alt + 9
KEY_9_LCONTROL	Ctrl + 9
KEY_9_LSHIFT	Shift + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	Alt + A
KEY_A_LCONTROL	Ctrl + A
KEY_A_LSHIFT	Shift + A
KEY_B	B
KEY_B_LALT	Alt + B
KEY_B_LCONTROL	Ctrl + B
KEY_B_LSHIFT	Shift + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	Alt + ,
KEY_COMMA_LCONTROL	Ctrl + ,
KEY_COMMA_LSHIFT	Shift + ,
KEY_C_LALT	Alt + C
KEY_C_LCONTROL	Ctrl + C
KEY_C_LSHIFT	Shift + C
KEY_D	D
KEY_DOWN	Ned
KEY_D_LALT	Alt + D
KEY_D_LCONTROL	Ctrl + D
KEY_D_LSHIFT	Shift + D
KEY_E	E
KEY_E_LALT	Alt + E
KEY_E_LCONTROL	Ctrl + E
KEY_E_LSHIFT	Shift + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	Alt + F10
KEY_F10_LCONTROL	Ctrl + F10
KEY_F10_LSHIFT	Shift + F10
KEY_F1_LALT	Alt + F1
KEY_F1_LCONTROL	Ctrl + F1
KEY_F1_LSHIFT	Shift + F1
KEY_F2	F2
KEY_F2_LALT	Alt + F2
KEY_F2_LCONTROL	Ctrl + F2
KEY_F2_LSHIFT	Shift + F2
KEY_F3	F3
KEY_F3_LALT	Alt + F3
KEY_F3_LCONTROL	Ctrl + F3
KEY_F3_LSHIFT	Shift + F3
KEY_F4	F4
KEY_F4_LALT	Alt + F4
KEY_F4_LCONTROL	Ctrl + F4
KEY_F4_LSHIFT	Shift + F4
KEY_F5	F5
KEY_F5_LALT	Alt + F5
KEY_F5_LCONTROL	Ctrl + F5
KEY_F5_LSHIFT	Shift + F5
KEY_F6	F6
KEY_F6_LALT	Alt + F6
KEY_F6_LCONTROL	Ctrl + F6
KEY_F6_LSHIFT	Shift + F6
KEY_F7	F7
KEY_F7_LALT	Alt + F7
KEY_F7_LCONTROL	Ctrl + F7
KEY_F7_LSHIFT	Shift + F7
KEY_F8	F8
KEY_F8_LALT	Alt + F8
KEY_F8_LCONTROL	Ctrl + F8
KEY_F8_LSHIFT	Shift + F8
KEY_F9	F9
KEY_F9_LALT	Alt + F9
KEY_F9_LCONTROL	Ctrl + F9
KEY_F9_LSHIFT	Shift + F9
KEY_F_LALT	Alt + F
KEY_F_LCONTROL	Ctrl + F
KEY_F_LSHIFT	Shift + F
KEY_G	G
KEY_GRAVE	½
KEY_GRAVE_LALT	Alt + ½
KEY_GRAVE_LCONTROL	Ctrl + ½
KEY_GRAVE_LSHIFT	Shift + ½
KEY_G_LALT	Alt + G
KEY_G_LCONTROL	Ctrl + G
KEY_G_LSHIFT	Shift + G
KEY_H	H
KEY_H_LALT	Alt + H
KEY_H_LCONTROL	Ctrl + H
KEY_H_LSHIFT	Shift + H
KEY_I	I
KEY_I_LALT	Alt + I
KEY_I_LCONTROL	Ctrl + I
KEY_I_LSHIFT	Shift + I
KEY_J	J
KEY_J_LALT	Alt + J
KEY_J_LCONTROL	Ctrl + J
KEY_J_LSHIFT	Shift + J
KEY_K	K
KEY_K_LALT	Alt + K
KEY_K_LCONTROL	Ctrl + K
KEY_K_LSHIFT	Shift + K
KEY_L	L
KEY_LALT	Alt
KEY_LCONTROL	Ctrl
KEY_LEFT	Venstre
KEY_LSHIFT	Shift
KEY_L_LALT	Alt + L
KEY_L_LCONTROL	Ctrl + L
KEY_L_LSHIFT	Shift + L
KEY_M	M
KEY_M_LALT	Alt + M
KEY_M_LCONTROL	Ctrl + M
KEY_M_LSHIFT	Shift + M
KEY_N	N
KEY_NUMLOCK	Num Lock
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	Alt + N
KEY_N_LCONTROL	Ctrl + N
KEY_N_LSHIFT	Shift + N
KEY_O	O
KEY_O_LALT	Alt + O
KEY_O_LCONTROL	Ctrl + O
KEY_O_LSHIFT	Shift + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	Alt + .
KEY_PERIOD_LCONTROL	Ctrl + .
KEY_PERIOD_LSHIFT	Shift + .
KEY_PGDN	Page Down
KEY_PGUP	Page Up
KEY_P_LALT	Alt + P
KEY_P_LCONTROL	Ctrl + P
KEY_P_LSHIFT	Shift + P
KEY_Q	Q
KEY_Q_LALT	Alt + Q
KEY_Q_LCONTROL	Ctrl + Q
KEY_Q_LSHIFT	Shift + Q
KEY_R	R
KEY_RIGHT	Højre
KEY_R_LALT	Alt + R
KEY_R_LCONTROL	Ctrl + R
KEY_R_LSHIFT	Shift + R
KEY_S	S
KEY_SPACE	Mellemrum
KEY_SUBTRACT	-
KEY_SYSRQ	Print Screen
KEY_S_LALT	Alt + S
KEY_S_LCONTROL	Ctrl + S
KEY_S_LSHIFT	Shift + S
KEY_T	T
KEY_TAB	Tab
KEY_T_LALT	Alt + T
KEY_T_LCONTROL	Ctrl + T
KEY_T_LSHIFT	Shift + T
KEY_U	U
KEY_UP	Op
KEY_U_LALT	Alt + U
KEY_U_LCONTROL	Ctrl + U
KEY_U_LSHIFT	Shift + U
KEY_V	V
KEY_V_LALT	Alt + V
KEY_V_LCONTROL	Ctrl + V
KEY_V_LSHIFT	Shift + V
KEY_W	W
KEY_W_LALT	Alt + W
KEY_W_LCONTROL	Ctrl + W
KEY_W_LSHIFT	Shift + W
KEY_X	X
KEY_X_LALT	Alt + X
KEY_X_LCONTROL	Ctrl + X
KEY_X_LSHIFT	Shift + X
KEY_Y	Y
KEY_Y_LALT	Alt + Y
KEY_Y_LCONTROL	Ctrl + Y
KEY_Y_LSHIFT	Shift + Y
KEY_Z	Z
KEY_Z_LALT	Alt + Z
KEY_Z_LCONTROL	Ctrl + Z
KEY_Z_LSHIFT	Shift + Z
LEADER_NAME	Lederens Navn
LEFT_TIME	Resterende tid	
LIMIT_LEVEL_GUILD	Ordens level: %d
LOGIN_CONNECT_FAILURE	En fejl opstod ved forbindelsen til serveren.	
LOGIN_CONNECT_SUCCESS	Du er forbundet til serveren.
LOGIN_CONNETING	Vent venligst mens du er forbundet til serveren.
LOGIN_FAILURE_ALREAY	Din konto er allerede forbundet.
LOGIN_FAILURE_BACKEND_ERR	Der opstod en fejl. Kontakt venligst Support.
LOGIN_FAILURE_BE_SAME_KEY	Registrerings problem.	
LOGIN_FAILURE_BLOCK_ID	Denne konto er blevet blokeret.
LOGIN_FAILURE_BLOCK_LOGIN	Vælg venligst en anden servere.
LOGIN_FAILURE_COUNTRY_ERR	Landekoden er forkert.\nKontakt venligst Support.
LOGIN_FAILURE_INTEGRTING	Denne konto bliver i øjeblikket fusioneret. Prøv venligst igen senere.
LOGIN_FAILURE_IOVATION_ERR	Der er desværre opstået en fejl. Kontakt venligst Support.
LOGIN_FAILURE_NOBILL	Denne konto har ingen spilletid.
LOGIN_FAILURE_NOT_AVAIL	Denne konto er ikke tilgængelig.
LOGIN_FAILURE_NOT_EXIST_ID	Forkert brugernavn eller password.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Du skal bekræfte din konto via email.
LOGIN_FAILURE_REPAIR_ID	Genstandene er blevet gendannet på denne konto.
LOGIN_FAILURE_SAMELOGIN	En person har forbundet sig til din konto.
LOGIN_FAILURE_SHUTDOWN	Denne server er ikke åben.
LOGIN_FAILURE_STEAM_SESSION	Din session er udløbet. Genstart venligst klienten.
LOGIN_FAILURE_TNT_SESSION	Klienten kan ikke åbnes. Genstart venligst lancereren og log in.
LOGIN_FAILURE_TOO_MANY_USER	Du kan ikke få forbindelse med serveren, da der er for mange spillere online.
LOGIN_FAILURE_UNKNOWN	Du kunne ikke logge på. Årsagen er ukendt.
LOGIN_FAILURE_WEB_BLOCK	Du blev blokeret på websiden. Tjek venligst din e-mail.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Du har indtastet et forkert nr.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Du har 3 gange i træk indtastet et forkert nr. - din forbindelse blev afbrudt.
LOGIN_FAILURE_WRONG_PASSWORD	Forkert brugernavn eller password.
LOGIN_INPUT_ID	Angiv ID.
LOGIN_INPUT_PASSWORD	Angiv kodeordet.
LOGIN_PROCESSING	Registreringen med serveren er i gang...
LUCKY_BOX_DIALOG_RECV_TEXT	Ønsker du at acceptere genstanden?
LUCKY_BOX_DIALOG_RETRY_TEXT	Ønsker du at prøve lykken igen?
MAILBOX_FAIL_USE_TIME_LIMIT	Opdaterer Postkasse. Prøv venligst igen senere.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Ingen beskeder
MAILBOX_POST_ALL_DELETE_QUESTION1	Slet alle beskeder?
MAILBOX_POST_ALL_DELETE_QUESTION2	Beskeder med vedhæftninger vil ikke blive slettet.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Du har ikke nogen beskeder med vedhæftninger i din postkasse.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accepter vedhæftning? (Minus 5% i skat i Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Beskeden kunne ikke slettes. Accepter venligst vedhæftningen først.
MAILBOX_POST_DELETE_QUESTION	Vil du virkelig slette denne besked?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Genstandene kunne ikke blive accepteret. Dit inventar er fyldt.
MAILBOX_POST_GET_ITEMS_QUESTION	Accepter vedhæftning? (Minus 5% i skat i Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Du kan ikke acceptere flere Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Du kan ikke acceptere flere Yang.
MAILBOX_POST_GM_ARRIVE	GM Besked
MAILBOX_POST_NOT_CONFIRM_INFO_1	Ulæste beskeder: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Uden vedhæftning: %d / Med vedhæftning: %d
MAILBOX_POST_READ_BLOCK	Er du sikker på at du gerne vil blokere %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Du kan kun sende en genstand per besked.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Opdel de stablede genstande i dit inventar, inden du vedhæfter en til meddelelsen.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Ukendt modtager. Beskeden kunne ikke blive sendt.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Din modtagers postkasse er fyldt. Beskeden kunne ikke blive sendt.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Du kan sende beskeder fra level 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Du har ikke nok Yang til at sende denne besked.
MAILBOX_POST_WRITE_NAME_CHECK	Bekræft modtagerens navn ved at klikke på Tjek Modtager.
MAILBOX_POST_WRITE_NAME_EMPTY	Indtast modtageren.
MAILBOX_POST_WRITE_QUESTION1	Ønsker du at sende beskeden til %s nu?
MAILBOX_POST_WRITE_QUESTION2	Forsendelsesgebyr: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Indtast en modtager.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Indtast et emne.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Penge
MAILBOX_POST_WRITE_WRONG_ITEM	Du kan ikke sende sjælebundene genstande.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Beskeden indeholder ulovlige ord.
MAILBOX_POST_WRITE_WRONG_TITLE	Emnet indeholder ulovlige ord.
MALL_CANNOT_INSERT	Du kan ikke placere den genstand.
MALL_PASSWORD_TITLE	Kodeord
MAP_A1	Område Yongan
MAP_A2	Seungryong Dal
MAP_A2_1	
MAP_A3	Område Yayang
MAP_AG	Jungrang
MAP_B1	Område Joan
MAP_B2	Imji dalen
MAP_B3	Område Bokjung
MAP_BATTLE_FIELD	Kamp Zone
MAP_BAY	Nefrit bugten
MAP_BAYBLACKSAND	Nefrit bugten
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	GO: Fortryllede Skov
MAP_BOSS_AWAKEN_FLAME	GO: Røde Drages Fort
MAP_BOSS_AWAKEN_SKIPIA	GO: Forbandelsens Grotte
MAP_BOSS_AWAKEN_SNOW	GO: Nemere's Vagttårn
MAP_BOSS_CRACK_DAWNMIST	TS: Fortryllede Skov
MAP_BOSS_CRACK_FLAME	TS: Røde Drages Fort
MAP_BOSS_CRACK_SKIPIA	TS: Forbandelsens Grotte
MAP_BOSS_CRACK_SNOW	TS: Nemere's Vagttårn
MAP_BOSS_LABYRINTH	Illusionernes Højslette
MAP_C1	Område Pyungmoo
MAP_C2	Bangsan dalen
MAP_C3	Område Bakra
MAP_CAPE	Kap Drageild
MAP_CAPEDRAGONHEAD	Kap Drageild
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodiac Tempel
MAP_DAWN	Gautama Klippe
MAP_DAWNMISTWOOD	Gautama Klippe
MAP_DAWNMIST_DUNGEON_01	Fortryllet skov
MAP_DEFENSE_WAVE	Skibs Forsvar
MAP_DEFENSE_WAVE_PORT	Havn
MAP_DESERT	Yongbi-ørken
MAP_DEVILCATACOMB	Djævelens katakomb
MAP_DEVILTOWER1	Dæmon tårn
MAP_DUEL	Træningskamp område
MAP_E	Koloni
MAP_EMPIREWAR01	Slots-kamp
MAP_EMPIREWAR02	Slots-kamp
MAP_EMPIREWAR03	Slots-kamp
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Drage Kongens Palads
MAP_HOLYPLACE_DESERT	Ørkenland Nationskrig
MAP_HOLYPLACE_FLAME	Ildland Nationskrig
MAP_HOLYPLACE_ICE	Island Nationskrig
MAP_MILGYO	Hwang Tempel
MAP_MILGYO_A	
MAP_MINIBOSS_01	Blåt Fangehul – Lvl 40-80
MAP_MINIBOSS_02	Rødt Fangehul – Lvl 81+
MAP_MISTS_OF_ISLAND	Tågens Ø
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Tordenbjergene
MAP_MT_TH_DUNGEON_01	Ochao Tempel
MAP_NUSLUCK	Kæmpernes land
MAP_NUSLUCK01	Kæmpernes land
MAP_N_DESERT_01	Yongbi-Ørken
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ildland
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meleys Grotte
MAP_N_FLAME_DUNGEON_01	Rød Drageborg
MAP_N_SNOWM_01	Bjerget Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemeres vagttårn
MAP_N_THREEWAY	Seungryong Dalen
MAP_OXEVENT	OX turnering
MAP_PATHWAY_DESERT_01	Ørkenland Nationskrig
MAP_PATHWAY_DESERT_02	Ørkenland Nationskrig
MAP_PATHWAY_DESERT_03	Ørkenland Nationskrig
MAP_PATHWAY_FLAME_01	Ildland Nationskrig
MAP_PATHWAY_FLAME_02	Ildland Nationskrig
MAP_PATHWAY_FLAME_03	Ildland Nationskrig
MAP_PATHWAY_ICE_01	Island Nationskrig
MAP_PATHWAY_ICE_02	Legeplads
MAP_PATHWAY_ICE_03	Island Nationskrig
MAP_SKELTOWER	Gumsan-Tårn
MAP_SKIPIA_DUNGEON_01	Forbandelsens grotte
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Forbandelsens grotte 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Dragens tempel
MAP_SKIPIA_DUNGEON_BOSS_1	Edderkoppe grotte 1
MAP_SKIPIA_DUNGEON_BOSS_2	Edderkoppe grotte 2
MAP_SKIPIA_DUNGEON_BOSS_3	Edderkoppe grotte 3
MAP_SNOW	Bjerget Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Edderkoppe grotte 1
MAP_SPIDERDUNGEON_02	Edderkoppe-grotte 2
MAP_SPIDERDUNGEON_02_1	Edderkoppe grotte 2
MAP_SPIDERDUNGEON_03	Edderkoppe grotte 3
MAP_SUNGZI	Nationskrig
MAP_SUNGZI_DESERT_01	Ørkenland Nationskrig
MAP_SUNGZI_DESERT_HILL_01	Ørkenland Nationskrig
MAP_SUNGZI_DESERT_HILL_02	Ørkenland Nationskrig
MAP_SUNGZI_DESERT_HILL_03	Ørkenland Nationskrig
MAP_SUNGZI_FLAME_HILL_01	Ildland Nationskrig
MAP_SUNGZI_FLAME_HILL_02	Ildland Nationskrig
MAP_SUNGZI_FLAME_HILL_03	Ildland Nationskrig
MAP_SUNGZI_SNOW	Island Nationskrig
MAP_SUNGZI_SNOW_PASS01	Island Nationskrig
MAP_SUNGZI_SNOW_PASS02	Island Nationskrig
MAP_SUNGZI_SNOW_PASS03	Island Nationskrig
MAP_T1	Ordenskrigs område
MAP_T2	Ordenskrigs område
MAP_T3	Ordenskrigs område
MAP_T4	Ordenskrigs område
MAP_TEMPLE	Hwang-Tempel
MAP_THUNDER	Tordenbjergene
MAP_TREE	Lungsam
MAP_TRENT	Åndeskov
MAP_TRENT02	Rød skov
MAP_TRENT02_A	Rød skov
MAP_TRENT_A	
MAP_WEDDING_01	Bryllups kort
MAP_WL	Slangeområde
MAP_WL_01	Slangeområde
MC_ACCUMULATION_COUNT	Indsamlede Monster Kort: %d
MC_ALTER_TEXT	Mission level: %d
MC_CARD_FALL_SHORT	Ikke nok registrerede kort.
MC_CARD_SHUFFLE	Vil du blande kortene?
MC_INIT_ITEM_FALL_SHORT	Du skal bruge %d Nulstillings Billet(ter).
MC_MISSION_FAIL_MSG	Ingen aktiv mission eller begrænsning nået.
MC_MISSION_INIT	Ønsker du at nulstille missionen til level 1?
MC_MISSION_NO_CLEAR	Du skal gennemføre missionen først.
