ACCE_ABSORB_COST	Absorberingsprijs: %d
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilde] Vul a.u.b. een gildenaam in.
GUILDWINDOW_LIST_LADDER	Rang Punten
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilde] Dit gilde adverteert niet.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aanmelding
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Gilde Lijst
GUILDWINDOW_LIST_RANKING	Positie
GUILDWINDOW_LIST_RANKING_COUNT	Positie
GUILDWINDOW_LIST_REGISTER	Aanmeldingen
GUILDWINDOW_LIST_REGISTER_GUILD	Aanmelden bij gilde
GUILDWINDOW_LIST_SEARCH	Zoeken
GUILDWINDOW_LIST_SELECT_GUILD	[Gilde] Kies a.u.b. een gilde om je bij aan te melden.
GUILDWINDOW_PROMOTE_REFRESH	Adverteren
GUILDWINDOW_PROMOTE_REGISTER	Adverteren
GUILDWINDOW_SP_RECOVER	Draken God Kracht
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Altaar verbeteren
GUILDWINDOW_UPGRADE_GUILDBANK	Bank verbeteren
GUILD_ATTENDANCE_FAIL_ALREADY	Je hebt vandaag al deelgenomen.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Je kunt nu niet deelnemen. Deelname wordt dagelijks gereset om vijf uur 's nachts.
GUILD_BANKINFO_CLOSE	Sluiten
GUILD_BANKINFO_NAME	Lid
GUILD_BANKINFO_TYPE	Item/Valuta
GUILD_BANKINFO_USETYPE	Actie
GUILD_BANK_CLOSE	Sluiten
GUILD_BANK_INFO	Gilde Warenhuis Log
GUILD_BOARD_ID	Lid
GUILD_BOARD_TEXT	Bericht
GUILD_BUILDING_FIX_CHANGE	Wil je echt de positie veranderen?
GUILD_BUILDING_FIX_CHANGE_GOLD	Kosten: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Wil je het object echt verwijderen?
GUILD_BUILDING_FIX_NEED_BUILDING	Geen gebouw aanwezig.
GUILD_BUILDING_GRADE	Rank	
GUILD_BUILDING_NAME	Naam van het gebouw	
GUILD_CANNOT_HEAL_GSP_ANYMORE	De Drakengeest energie is volledig hersteld
GUILD_COMMENT	Schrijf	
GUILD_CREATE_ERROR_INSULT_NAME	Gildenaam is ongeldig.	
GUILD_DEFAULT_GRADE	Gilde leden	
GUILD_DELETE	Verwijder	
GUILD_DEPOSIT	Deponeer	
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Je hebt niet genoeg Grote Donatie Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Je inventaris is vol. Je kunt niet doneren.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Jouw karakter moet minstens level 30 zijn.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Je hebt niet genoeg Gemiddelde Donatie Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Niet genoeg Yang.
GUILD_DONATE_FAIL_TIME	Tot over 24 uur!
GUILD_DONATE_QUESTION_HIGH	Wil je een Grote Donatie doen?
GUILD_DONATE_QUESTION_MIDDLE	Wil je een Gemiddelde Donatie doen?
GUILD_DONATE_QUESTION_NORMAL	Wil je een Kleine Donatie doen?
GUILD_DO_YOU_HEAL_GSP	Wil je %d Yang gebruiken om %d Drakengeest te herstellen?
GUILD_DO_YOU_JOIN	 heeft je uitgenodigd. Wil je je aansluiten bij de Gilde?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Algemene Ranglijst
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11de Plaats en Lager: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Help
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1ste Plaats: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4de-10de Plaats: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2de-3de Plaats: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Leden
GUILD_DRAGONLAIR_PARTY_NOW	Wekelijkse Ranglijst
GUILD_DRAGONLAIR_PARTY_PAST	Vorige Ranglijst
GUILD_DRAGONLAIR_PARTY_TIME	Tijd
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Beloning
GUILD_DRAGONLAIR_RANKING_FAIL	MISLUKT
GUILD_DRAGONLAIR_RANKING_NONE	NIEUW
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES!
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Leeg Land	
GUILD_ENEMY_GUILD_NAME	Gilde naam van de vijand	
GUILD_FACILITY	Bijgebouw
GUILD_GEM	Edelsteen	
GUILD_HEADQUARTER	Hoofdgebouw
GUILD_HEAL_GSP	Herstel Drakengeest
GUILD_INFO_ENEMY_GUILD_EMPTY	Geen	
GUILD_MARK_NOT_ENOUGH_LEVEL	Minstens level 3 nodig.
GUILD_MARK_UPLOAD_NOTICE	Wacht een moment zodat je gildelogo's kunt toevoegen.
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Strijder
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Lid
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	ERV gedoneerd
GUILD_NAME	Gilde Naam	
GUILD_NOT_ENOUGH_MATERIAL	Je hebt niet genoeg grondstoffen voor dit gebouw.
GUILD_NOT_ENOUGH_MONEY	Je hebt niet genoeg Yang voor dit gebouw.
GUILD_NO_NOTICE_PERMISSION	Je hebt geen rechten om aankondigingen te doen.	
GUILD_OBJECT	Voorwerpen	
GUILD_OFFER_EXP	Te investeren Ervaring
GUILD_SHORT_EXP	Niet genoeg ervaringspunten.
GUILD_TILE_BASEINFO	Gebied Informatie
GUILD_TILE_BOARD	Gilde Berichten
GUILD_TILE_GRADE	Rechten Beheer	
GUILD_TILE_INFO	Gilde Informatie	
GUILD_TILE_MEMBER	Lid
GUILD_TILE_SKILL	Gilde Vaardigheden	
GUILD_USE_MASTER_ONLY	Alleen de gildeleider is hiertoe gemachtigd.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Gilde Oorlog Gebied
GUILD_WAR2	Gilde Oorlog Gebied
GUILD_WAR3	Gilde Oorlog Gebied
GUILD_WAR4	Gilde Oorlog Gebied
GUILD_WAR_GAINSCORE_FIFTY	50 punten
GUILD_WAR_GAINSCORE_HUNDRED	100 punten
GUILD_WAR_GAINSCORE_THIRTY	30 punten
GUILD_WAR_GAMETIME_SIXTY	60 minuten
GUILD_WAR_GAMETIME_TEN	10 minuten
GUILD_WAR_GAMETIME_THIRTY	30 minuten
GUILD_WAR_LIMIT_30MIN	Tijd: 30 Minuten	
GUILD_WAR_REWARD_POTION	Prijs: De winnaar ontvangt een Brouwsel	
GUILD_WAR_SELECT_WAR	Selecteer type
GUILD_WAR_TYPE_DEFENSE	Schild Gevecht
GUILD_WAR_TYPE_DIE	Arena Gevecht
GUILD_WAR_TYPE_FLAG	Verover de Vlag
GUILD_WAR_TYPE_NORMAL	Veld Gevecht
GUILD_WAR_TYPE_TIGER	Vernietiging
GUILD_WAR_TYPE_TIME	Tijd Aanval
GUILD_WAR_USE_BATTLE_MAP	Locatie: Gilde Oorlog Theater
GUILD_WAR_USE_NORMAL_MAP	Locatie: Normale Map
GUILD_WAR_WIN_CHECK_SCORE	Het hoogste resultaat wint de oorlog.	
GUILD_WAR_WIN_FIVE	5 ronden
GUILD_WAR_WIN_ONE	1 ronde
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Verover de vlag van de vijand
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	en breng het naar je basis.
GUILD_WAR_WIN_THREE	3 ronden
GUILD_WAR_WIN_WIPE_OUT_GUILD	Versla alle vijanden om te winnen.	
GUILD_WITHDRAW	Terugtrekken	
GUILD_YOU_DO_NOT_JOIN	Je bent geen lid van een Gilde.	
HORSE_HEALTH0	Dood	
HORSE_HEALTH1	Uithongeren
HORSE_HEALTH2	Hongerig
HORSE_HEALTH3	Vol	
HORSE_LEVEL1	Normale Paard
HORSE_LEVEL2	Vecht Paard
HORSE_LEVEL3	Militaire Paard
HOUR	u
HOW_MANY_ITEM_DO_YOU_DROP1	Wil je %s laten vallen?	
HOW_MANY_ITEM_DO_YOU_DROP2	Wil je %s %d laten vallen?	
INPUT_MATRIX_CARD_NUMBER	Voer Matrix Kaartnummer in.	
INPUT_MATRIX_CARD_TITLE	Matrix Kaart	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Voer de code die je hebt gecreëerd in Account Beheer hier in.	
INPUT_PRIVATE_CODE_DIALOG_TITLE	Verwijder karakter	
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Geschrigten kunnen niet gecombineerd worden.	
INVENTORY_REALLY_USE_ITEM	Dit voorwerp op dit voorwerp gebruiken?
INVENTORY_REALLY_USE_ITEM2	Wil je dit item echt gebruiken?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Weet je zeker dat je jouw huisdier in de Transporteer Doos wil stoppen?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Wil je een Transporteer Doos openen?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Wil je %s aan %s voeren?
IS_NOT_PET_CHANGE_ITEM	Dat is geen Betoverd Huisdier-item.
IS_NOT_PET_ITEM	Dat is geen huisdier.
JOB_ASSASSIN	Ninja	
JOB_ASSASSIN0	Geen
JOB_ASSASSIN1	Messen Ninja
JOB_ASSASSIN2	Boog Ninja
JOB_SHAMAN	Sjamaan	
JOB_SHAMAN0	Geen
JOB_SHAMAN1	Draken Sjamaan
JOB_SHAMAN2	Helende Sjamaan
JOB_SURA	Sura	
JOB_SURA0	Geen
JOB_SURA1	Wapen Sura
JOB_SURA2	Magie Sura
JOB_WARRIOR	Krijger	
JOB_WARRIOR0	Geen
JOB_WARRIOR1	Fysieke Krijger
JOB_WARRIOR2	Mentale Krijger
JOB_WOLFMAN	Lycaan
JOB_WOLFMAN0	Amateur Lycaan
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Sluiten zonder opslaan?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT] en [SHIFT] zijn hier niet toegestaan!
KEYCHANGE_SAVE_EXIT	Opslaan en sluiten?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	OMLAAG
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	@
KEY_GRAVE_LALT	ALT + @
KEY_GRAVE_LCONTROL	CTRL + @
KEY_GRAVE_LSHIFT	SHIFT + @
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LINKS
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUM LOCK
KEY_NUMPAD0	NUM 0
KEY_NUMPAD1	NUM 1
KEY_NUMPAD2	NUM 2
KEY_NUMPAD3	NUM 3
KEY_NUMPAD4	NUM 4
KEY_NUMPAD5	NUM 5
KEY_NUMPAD6	NUM 6
KEY_NUMPAD7	NUM 7
KEY_NUMPAD8	NUM 8
KEY_NUMPAD9	NUM 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RECHTS
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPATIE
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCR
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	OMHOOG
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Leidernaam
LEFT_TIME	Overgebleven Tijd	
LIMIT_LEVEL_GUILD	Gildelevel: %d
LOGIN_CONNECT_FAILURE	Fout bij de server verbinding.	
LOGIN_CONNECT_SUCCESS	Je  bent verbonden met de server
LOGIN_CONNETING	Even geduld. Je wordt met de server verbonden.
LOGIN_FAILURE_ALREAY	Je account is al verbonden.
LOGIN_FAILURE_BACKEND_ERR	Er is een fout opgetreden. Neem a.u.b. contact op met Support.
LOGIN_FAILURE_BE_SAME_KEY	Registratie probleem.	
LOGIN_FAILURE_BLOCK_ID	Dit account is geblokkeerd.
LOGIN_FAILURE_BLOCK_LOGIN	kies een van de andere servers!
LOGIN_FAILURE_COUNTRY_ERR	De landcode is niet correct.\nNeem a.u.b. contact op met Support.
LOGIN_FAILURE_INTEGRTING	Dit account wordt momenteel samengevoegd. Probeer het later opnieuw a.u.b.
LOGIN_FAILURE_IOVATION_ERR	Er is helaas een fout opgetreden. Neem a.u.b. contact op met Support.
LOGIN_FAILURE_NOBILL	Dit account heeft geen speeltijd.
LOGIN_FAILURE_NOT_AVAIL	Het account is niet beschikbaar.
LOGIN_FAILURE_NOT_EXIST_ID	Account naam of wachtwoord is incorrect
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Je dient je account te verifiëren via e-mail.
LOGIN_FAILURE_REPAIR_ID	Items zijn hersteld voor dit account.
LOGIN_FAILURE_SAMELOGIN	Iemand heeft zich met jouw account verbonden.
LOGIN_FAILURE_SHUTDOWN	De server is nog niet open.	
LOGIN_FAILURE_STEAM_SESSION	Jouw sessie is verlopen. Herstart de client a.u.b.
LOGIN_FAILURE_TNT_SESSION	De client kan niet geopend worden. Herstart de launcher a.u.b. en log in.
LOGIN_FAILURE_TOO_MANY_USER	Je kan niet verbonden worden want er zijn teveel spelers online.	
LOGIN_FAILURE_UNKNOWN	Je kon niet registreren voor onbekende redenen.	
LOGIN_FAILURE_WEB_BLOCK	Je bent geblokkerd bij de website. Controleer je e-mails alstublieft.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Je hebt een verkeerd nummer ingevoerd.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Je hebt drie keer een verkeerd nummer ingevoerd. /n Je verbinding wordt verbroken.	
LOGIN_FAILURE_WRONG_PASSWORD	Account naam of wachtwoord is incorrect.
LOGIN_INPUT_ID	Voer ID in.	
LOGIN_INPUT_PASSWORD	Voer wachtwoord in.	
LOGIN_PROCESSING	Login proces is gestart.
LUCKY_BOX_DIALOG_RECV_TEXT	Wil je het item accepteren?
LUCKY_BOX_DIALOG_RETRY_TEXT	Wil je je geluk nog eens beproeven?
MAILBOX_FAIL_USE_TIME_LIMIT	Brievenbus wordt bijgewerkt. Probeer het later opnieuw a.u.b.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Geen berichten
MAILBOX_POST_ALL_DELETE_QUESTION1	Alle berichten verwijderen?
MAILBOX_POST_ALL_DELETE_QUESTION2	Berichten met bijlagen worden niet verwijderd.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Je hebt geen berichten met bijlagen in je brievenbus.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Bijlage accepteren? (Min 5% belasting op Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Het bericht kon niet verwijderd worden. Accepteer de bijlage eerst a.u.b.
MAILBOX_POST_DELETE_QUESTION	Wil je dit bericht echt verwijderen?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Items konden niet geaccepteerd worden. Je inventaris is vol.
MAILBOX_POST_GET_ITEMS_QUESTION	Bijlage accepteren? (Min 5% belasting op Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Je kunt niet meer Won accepteren.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Je kunt niet meer Yang accepteren.
MAILBOX_POST_GM_ARRIVE	GM Bericht
MAILBOX_POST_NOT_CONFIRM_INFO_1	Ongelezen berichten: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Zonder bijlage: %d / Met bijlage: %d
MAILBOX_POST_READ_BLOCK	Weet je zeker dat je %s wil blokkeren?
MAILBOX_POST_WRITE_ALREADY_ITEM	Je kunt slechts één item per bericht versturen.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Maak de gestapelde items in je inventaris los voordat je ze als bijlage toevoegt.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Ontvanger onbekend. Het bericht kon niet verzonden worden.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	De brievenbus van de ontvanger is vol. Het bericht kon niet verzonden worden.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Je kunt berichten versturen vanaf level 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Je hebt niet genoeg Yang om dit bericht te versturen.
MAILBOX_POST_WRITE_NAME_CHECK	Bevestig de naam van de ontvanger door op Ontvanger controleren te klikken.
MAILBOX_POST_WRITE_NAME_EMPTY	Vul de ontvanger in.
MAILBOX_POST_WRITE_QUESTION1	Wil je het bericht naar %s nu versturen?
MAILBOX_POST_WRITE_QUESTION2	Bezorgingskosten: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Vul een ontvanger in.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Vul een onderwerp in.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Geld
MAILBOX_POST_WRITE_WRONG_ITEM	Je kunt geen zielsgebonden items versturen.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Het bericht bevat niet toegestane woorden.
MAILBOX_POST_WRITE_WRONG_TITLE	Het onderwerp bevat niet toegestane woorden.
MALL_CANNOT_INSERT	Je kunt het Voorwerp niet plaatsen.	
MALL_PASSWORD_TITLE	Wachtwoord	
MAP_A1	Yongan Gebied
MAP_A2	Vallei van Seungryong	
MAP_A2_1	
MAP_A3	Yayang Gebied
MAP_AG	Jungrang	
MAP_B1	Joan Gebied	
MAP_B2	Imji Vallei
MAP_B3	Bokjung Gebied
MAP_BATTLE_FIELD	Strijd Zone
MAP_BAY	Baai van Nefriet
MAP_BAYBLACKSAND	Baai van Nefriet
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	RX: Betoverd Woud
MAP_BOSS_AWAKEN_FLAME	RX: Rode Draken Fort
MAP_BOSS_AWAKEN_SKIPIA	RX: Grot der Verbanning
MAP_BOSS_AWAKEN_SNOW	RX: Nemere's Uitkijktoren
MAP_BOSS_CRACK_DAWNMIST	TS: Betoverd Woud
MAP_BOSS_CRACK_FLAME	TS: Rode Draken Fort
MAP_BOSS_CRACK_SKIPIA	TS: De Grot der Verbanning
MAP_BOSS_CRACK_SNOW	TS: Nemere's Uitkijktoren
MAP_BOSS_LABYRINTH	Plateau der Illusies
MAP_C1	Pyungmo Gebied
MAP_C2	Bangsan Vallei
MAP_C3	Bakra Gebied
MAP_CAPE	Cape Drakenvuur
MAP_CAPEDRAGONHEAD	Cape Drakenvuur
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodiac Tempel
MAP_DAWN	Gautama Klif
MAP_DAWNMISTWOOD	Gautama Klif
MAP_DAWNMIST_DUNGEON_01	Betoverde Woud
MAP_DEFENSE_WAVE	Schip Verdediging
MAP_DEFENSE_WAVE_PORT	Haven
MAP_DESERT	Yongbi Woestijn	
MAP_DEVILCATACOMB	Duivelse Catacomben
MAP_DEVILTOWER1	Demonen Toren
MAP_DUEL	Trainingsgevecht Gebied
MAP_E	Kolonie
MAP_EMPIREWAR01	Kasteelgevecht
MAP_EMPIREWAR02	Kasteelgevecht
MAP_EMPIREWAR03	Kasteelgevecht
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Paleis van de Drakenkoning
MAP_HOLYPLACE_DESERT	Woestijnland Koninkrijk Gevecht
MAP_HOLYPLACE_FLAME	Vuurland Koninkrijk Gevecht
MAP_HOLYPLACE_ICE	IJsland Koninkrijk Gevecht
MAP_MILGYO	Hwang Tempel
MAP_MILGYO_A	
MAP_MINIBOSS_01	Blauwe Kerker – Lvl 40-80
MAP_MINIBOSS_02	Rode Kerker – Lvl 81+
MAP_MISTS_OF_ISLAND	Eiland van Mist
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Donder Gebergte
MAP_MT_TH_DUNGEON_01	Tempel van de Ochao
MAP_NUSLUCK	Reuzen Land
MAP_NUSLUCK01	Reuzen Land
MAP_N_DESERT_01	Yongbi Woestijn
MAP_N_DESERT_02	
MAP_N_FLAME_01	Vuurland
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley's Hol
MAP_N_FLAME_DUNGEON_01	Rode Draken Fort
MAP_N_SNOWM_01	Berg Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemeres Uitkijktoren
MAP_N_THREEWAY	Vallei van Seungryong
MAP_OXEVENT	OX-wedstrijd
MAP_PATHWAY_DESERT_01	Woestijnland Koninkrijk Gevecht
MAP_PATHWAY_DESERT_02	Woestijnland Koninkrijk Gevecht
MAP_PATHWAY_DESERT_03	Woestijnland Koninkrijk Gevecht
MAP_PATHWAY_FLAME_01	Vuurland Koninkrijk Gevecht
