ACCE_ABSORB_COST	Стоимость поглощения: %d
GUILD_DRAGONLAIR_SECOND	Сек.
GUILD_EMPTY_AREA	Пустая Земля
GUILD_ENEMY_GUILD_NAME	Имя гильдии противника
GUILD_FACILITY	Пристройка
GUILD_GEM	Самоцвет
GUILD_HEADQUARTER	Главный корпус
GUILD_HEAL_GSP	Восстановить Дух Дракона
GUILD_INFO_ENEMY_GUILD_EMPTY	нет
GUILD_MARK_NOT_ENOUGH_LEVEL	Требуется мин. 3 уровень
GUILD_MARK_UPLOAD_NOTICE	Для регистрации логотипа гильдии надо немного подождать.
GUILD_MEMBER_JOB	Класс
GUILD_MEMBER_KNIGHT	Воины
GUILD_MEMBER_LEVEL	Уровень
GUILD_MEMBER_NAME	Участник
GUILD_MEMBER_RANK	Ранг
GUILD_MEMBER_SPECIFIC_GRAVITY	Пожертвованный опыт
GUILD_NAME	Имя гильдии
GUILD_NOT_ENOUGH_MATERIAL	У вас недостаточно строительного материала, чтобы построить это здание.
GUILD_NOT_ENOUGH_MONEY	У вас недостаточно янг для  этого сооружения.
GUILD_NO_NOTICE_PERMISSION	Вы не вправе делать уведомления.
GUILD_OBJECT	Объекты
GUILD_OFFER_EXP	Инвестировать опыт
GUILD_SHORT_EXP	Недостаточно опыта
GUILD_TILE_BASEINFO	Информация о земле
GUILD_TILE_BOARD	Заметки гильдии
GUILD_TILE_GRADE	Управление позицией
GUILD_TILE_INFO	Гильдия-инфо
GUILD_TILE_MEMBER	Участники
GUILD_TILE_SKILL	Навыки гильдии
GUILD_USE_MASTER_ONLY	Это право есть только у Лидера гильдии.
GUILD_VILLAGE_01	Мирйанг
GUILD_VILLAGE_02	Сонгпа
GUILD_VILLAGE_03	Даэйами
GUILD_WAR1	Территория войны гильдий
GUILD_WAR2	Территория войны гильдий
GUILD_WAR3	Территория войны гильдий
GUILD_WAR4	Территория войны гильдий
GUILD_WAR_GAINSCORE_FIFTY	50 очков
GUILD_WAR_GAINSCORE_HUNDRED	100 очков
GUILD_WAR_GAINSCORE_THIRTY	30 очков
GUILD_WAR_GAMETIME_SIXTY	60 минут
GUILD_WAR_GAMETIME_TEN	10 минут
GUILD_WAR_GAMETIME_THIRTY	30 минут
GUILD_WAR_LIMIT_30MIN	Время: 30 минут
GUILD_WAR_REWARD_POTION	Награда: победитель получает зелье
GUILD_WAR_SELECT_WAR	Выбрать вид сражения
GUILD_WAR_TYPE_DEFENSE	Защита объекта
GUILD_WAR_TYPE_DIE	Сражение на арене
GUILD_WAR_TYPE_FLAG	Сражение за флаги
GUILD_WAR_TYPE_NORMAL	Поле битвы
GUILD_WAR_TYPE_TIGER	Уничтожение
GUILD_WAR_TYPE_TIME	Гонка за победой
GUILD_WAR_USE_BATTLE_MAP	Местность: арена войны гильдий
GUILD_WAR_USE_NORMAL_MAP	Местонахождение: стандартная карта
GUILD_WAR_WIN_CHECK_SCORE	Лучший результат приносит победу в войне.
GUILD_WAR_WIN_FIVE	Пять раундов
GUILD_WAR_WIN_ONE	Один раунд
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Захватите флаг противника
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	и принесите его к Вашей базе.
GUILD_WAR_WIN_THREE	Три раунда
GUILD_WAR_WIN_WIPE_OUT_GUILD	Устраните всех противников, чтобы победить.
GUILD_WITHDRAW	Отвод
GUILD_YOU_DO_NOT_JOIN	Вы не состоите ни в одной гильдии.
HORSE_HEALTH0	Убит
HORSE_HEALTH1	Голоден
HORSE_HEALTH2	Умирает от голода
HORSE_HEALTH3	перегружен
HORSE_LEVEL1	Обычный конь
HORSE_LEVEL2	Броневой конь
HORSE_LEVEL3	Боевой конь
HOUR	Ч.
HOW_MANY_ITEM_DO_YOU_DROP1	Хотите выбросить %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Хотите выбросить %s %d ?
INPUT_MATRIX_CARD_NUMBER	Введите номер "матрица"-карты.
INPUT_MATRIX_CARD_TITLE	"Матрица"-карта
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Введите код удаления из управления учётной записью.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Удалить персонаж
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Комбинирование свитка Возвращения невозможно.
INVENTORY_REALLY_USE_ITEM	Применить на этом предмете?
INVENTORY_REALLY_USE_ITEM2	Вы точно хотите использовать этот предмет?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Желаете действительно поместить своего питомца в Транспортную клетку?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Желаете открыть Транспортную клетку?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Желаете %s скормить %s?
IS_NOT_PET_CHANGE_ITEM	Это не предмет «Зачаровать питомца».
IS_NOT_PET_ITEM	Это не питомец.
JOB_ASSASSIN	Ниндзя
JOB_ASSASSIN0	Никакой
JOB_ASSASSIN1	Ниндзя-мечник
JOB_ASSASSIN2	Ниндзя-лучник
JOB_SHAMAN	Шаман
JOB_SHAMAN0	Никакой
JOB_SHAMAN1	Шаман-дракон
JOB_SHAMAN2	Шаман-лекарь
JOB_SURA	Сура
JOB_SURA0	Никакой
JOB_SURA1	Сура-воин
JOB_SURA2	Сура-маг
JOB_WARRIOR	Воин
JOB_WARRIOR0	Нет
JOB_WARRIOR1	Воин физического боя
JOB_WARRIOR2	Воин духовного боя
JOB_WOLFMAN	Ликан
JOB_WOLFMAN0	Ликан любитель
JOB_WOLFMAN1	Инстинкт
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Закрыть не сохранив?
KEYCHANGE_IMPOSSIBLE_CHANGE	[Ctrl], [Alt], [Shift] здесь не допускаются!
KEYCHANGE_SAVE_EXIT	Сохранить и закрыть?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	СТРЕЛКА ВНИЗ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	СТРЕЛКА ВЛЕВО
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	СТРЕЛКА ВПРАВО
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	ПРОБЕЛ
KEY_SUBTRACT	-
KEY_SYSRQ	PRNT SCRN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	СТРЕЛКА ВВЕРХ
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Имя лидера
LEFT_TIME	Остав.время
LIMIT_LEVEL_GUILD	Уровень гильдии: %d
LOGIN_CONNECT_FAILURE	Ошибка при соединении с сервером.
LOGIN_CONNECT_SUCCESS	Вы соединены с сервером.
LOGIN_CONNETING	Подождите. Идет соединение с сервером.
LOGIN_FAILURE_ALREAY	Ваш аккаунт уже подключен.
LOGIN_FAILURE_BACKEND_ERR	Произошла ошибка. Свяжитесь со службой поддержки.
LOGIN_FAILURE_BE_SAME_KEY	Проблема с регистрацией
LOGIN_FAILURE_BLOCK_ID	Ваш аккаунт заблокирован.
LOGIN_FAILURE_BLOCK_LOGIN	Выберите другой сервер!
LOGIN_FAILURE_COUNTRY_ERR	Код страны неверный.\nСвяжитесь со службой поддержки.
LOGIN_FAILURE_INTEGRTING	Идет слияние вашего аккаунта. Повторите попытку позже.
LOGIN_FAILURE_IOVATION_ERR	К сожалению, произошла ошибка. Обратитесь в службу поддержки.
LOGIN_FAILURE_NOBILL	На вашем аккаунте нет игрового времени.
LOGIN_FAILURE_NOT_AVAIL	Аккаунт недоступен.
LOGIN_FAILURE_NOT_EXIST_ID	Неверное имя или пароль.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Требуется подтверждение по электронной почте.
LOGIN_FAILURE_REPAIR_ID	Предметы для этого аккаунта восстанавливаются.
LOGIN_FAILURE_SAMELOGIN	Кто-то подключился через ваш аккаунт.
LOGIN_FAILURE_SHUTDOWN	Сервер пока ещё закрыт.
LOGIN_FAILURE_STEAM_SESSION	Сессия окончена. Перезапустите клиент игры.
LOGIN_FAILURE_TNT_SESSION	Не удалось открыть клиент. Перезапустите игру и войдите в систему.
LOGIN_FAILURE_TOO_MANY_USER	В соединении отказано. Сервер переполнен.
LOGIN_FAILURE_UNKNOWN	Регистрация  не состоялась по неизвестным причинам.
LOGIN_FAILURE_WEB_BLOCK	Вас заблокировали на сайте. Пожалуйста проверьте  свой Email.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Введён неверный номер.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Неверный номер введён трижды. Связь будет прервана.
LOGIN_FAILURE_WRONG_PASSWORD	Неправильное имя или пароль.
LOGIN_INPUT_ID	Введите номер идентификации.
LOGIN_INPUT_PASSWORD	Введите пароль.
LOGIN_PROCESSING	Происходит регистрация...
LUCKY_BOX_DIALOG_RECV_TEXT	Хотите принять предмет?
LUCKY_BOX_DIALOG_RETRY_TEXT	Хотите еще раз испытать удачу?
MAILBOX_FAIL_USE_TIME_LIMIT	Почтовый ящик обновляется. Повторите попытку позже.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Нет писем
MAILBOX_POST_ALL_DELETE_QUESTION1	Удалить все письма?
MAILBOX_POST_ALL_DELETE_QUESTION2	Письма с приложениями не будут удалены.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	В вашем почтовом ящике нет писем с приложениями.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Принять приложение? (за вычетом 5% налога на янг)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Не удалось удалить письмо. Сначала примите приложение.
MAILBOX_POST_DELETE_QUESTION	Вы точно хотите удалить это письмо?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Не удалось взять предметы. Ваш инвентарь полон.
MAILBOX_POST_GET_ITEMS_QUESTION	Принять приложение? (за вычетом 5% налога на янг)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Вы не можете принять еще вон.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Вы не можете принять еще янг.
MAILBOX_POST_GM_ARRIVE	Письмо от ГМ
MAILBOX_POST_NOT_CONFIRM_INFO_1	Непрочитаннные: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Без приложений: %d / С приложениями: %d
MAILBOX_POST_READ_BLOCK	Вы точно хотите блокировать %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Вы можете отправлять по одному предмету на письмо.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Чтобы отправить что-то как приложение к письму, сначала отложите нужное количество в инвентаре.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Неизвестный получатель. Не удалось отправить письмо.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Почтовый ящик получателя полон. Не удалось отправить письмо.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Вы можете отправлять письма начиная с 20 уровня.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	У вас недостаточно янг, чтобы отправить это письмо.
MAILBOX_POST_WRITE_NAME_CHECK	Подтвердите имя получателя, нажав на «Проверить получателя».
MAILBOX_POST_WRITE_NAME_EMPTY	Укажите имя получателя.
MAILBOX_POST_WRITE_QUESTION1	Отправить письмо игроку %s сейчас?
MAILBOX_POST_WRITE_QUESTION2	Плата за отправку: %d янг
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Укажите имя получателя.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Укажите тему.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Сумма
MAILBOX_POST_WRITE_WRONG_ITEM	Нельзя отправлять зачарованные оковами души предметы.
MAILBOX_POST_WRITE_WRONG_MESSAGE	В сообщении есть недопустимые слова.
MAILBOX_POST_WRITE_WRONG_TITLE	В теме есть недопустимые слова.
MALL_CANNOT_INSERT	Вы не можете  внести предмет.
MALL_PASSWORD_TITLE	Пароль
MAP_A1	Земля Йонган
MAP_A2	Долина Сеунгрийонг
MAP_A2_1	
MAP_A3	Земля Яянг
MAP_AG	Юнгранг
MAP_B1	Земля Йоан
MAP_B2	Долина Имджи
MAP_B3	Земля Бокъюнг
MAP_BATTLE_FIELD	Поле боя
MAP_BAY	Нефритовый залив
MAP_BAYBLACKSAND	Нефритовый залив
MAP_BG	Варйонг
MAP_BOSS_AWAKEN_DAWNMIST	ПР: Зачарованный лес
MAP_BOSS_AWAKEN_FLAME	ПР: Крепость Красного дракона
MAP_BOSS_AWAKEN_SKIPIA	ПР: Грот изгнанников
MAP_BOSS_AWAKEN_SNOW	ПР: Башня Немера
MAP_BOSS_CRACK_DAWNMIST	ХР: Зачарованный лес
MAP_BOSS_CRACK_FLAME	ХР: Крепость Красного дракона
MAP_BOSS_CRACK_SKIPIA	ХР: Грот изгнанников
MAP_BOSS_CRACK_SNOW	ХР: Башня Немера
MAP_BOSS_LABYRINTH	Плато иллюзий
MAP_C1	Земля Пуингмо
MAP_C2	Долина Бангзан
MAP_C3	Земля Бакра
MAP_CAPE	Мыс пламя дракона
MAP_CAPEDRAGONHEAD	Мыс пламя дракона
MAP_CG	Имха
MAP_CZ_DUNGEON	Храм Зодиака
MAP_DAWN	Утес Гаутама
MAP_DAWNMISTWOOD	Утес Гаутама
MAP_DAWNMIST_DUNGEON_01	Зачарованный лес
MAP_DEFENSE_WAVE	Защита корабля
MAP_DEFENSE_WAVE_PORT	Гавань
MAP_DESERT	Пустыня Йонгби
MAP_DEVILCATACOMB	Катакомбы дьявола
MAP_DEVILTOWER1	Башня демонов
MAP_DUEL	Арена для учебных боев
MAP_E	Колония
MAP_EMPIREWAR01	Битва Замков
MAP_EMPIREWAR02	Битва Замков
MAP_EMPIREWAR03	Битва Замков
MAP_FLAME	Доюмхван
MAP_GUILD_01	Юнгранг
MAP_GUILD_02	Варйонг
MAP_GUILD_03	Имха
MAP_GUILD_PVE	Дворец короля драконов
MAP_HOLYPLACE_DESERT	Битва Империй-Пустынные земли
MAP_HOLYPLACE_FLAME	Битва Империй-Огненные земли
MAP_HOLYPLACE_ICE	Битва Империй-Ледяные земли
MAP_MILGYO	Храм Хванг
MAP_MILGYO_A	
MAP_MINIBOSS_01	Синее подземелье – ур. 40-80
MAP_MINIBOSS_02	Красное подземелье – с ур. 81
MAP_MISTS_OF_ISLAND	Небесные острова
MAP_MONKEY_DUNGEON	Хасун Донг
MAP_MONKEY_DUNGEON2	Юнгсун Донг
MAP_MONKEY_DUNGEON3	Сангсун Донг
MAP_MONKEY_DUNGEON_11	Хасун Донг
MAP_MONKEY_DUNGEON_12	Хасун Донг
MAP_MONKEY_DUNGEON_13	Хасун Донг
MAP_MT_THUNDER	Горы грома
MAP_MT_TH_DUNGEON_01	Храм Окао
MAP_NUSLUCK	Земля Громил
MAP_NUSLUCK01	Земля Громил
MAP_N_DESERT_01	Пустыня Йонгби
MAP_N_DESERT_02	
MAP_N_FLAME_01	Огненные земли
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Сокровищница Мелеи
MAP_N_FLAME_DUNGEON_01	Крепость красного дракона
MAP_N_SNOWM_01	Гора Сохан
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Башня Немера
MAP_N_THREEWAY	Долина Сеунгрийонг
MAP_OXEVENT	OX-соревнование
MAP_PATHWAY_DESERT_01	Битва Империй-Пустынные земли
MAP_PATHWAY_DESERT_02	Битва Империй-Пустынные земли
MAP_PATHWAY_DESERT_03	Битва Империй-Пустынные земли
MAP_PATHWAY_FLAME_01	Битва Империй-Огненные земли
MAP_PATHWAY_FLAME_02	Битва Империй-Огненные земли
MAP_PATHWAY_FLAME_03	Битва Империй-Огненные земли
MAP_PATHWAY_ICE_01	Битва Империй-Ледяные земли
MAP_PATHWAY_ICE_02	Страна Развлечений
MAP_PATHWAY_ICE_03	Битва Империй-Ледяные земли
MAP_SKELTOWER	Башня Гумсан
MAP_SKIPIA_DUNGEON_01	Грот изгнанников
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Грот изгнанников 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Логово дракона
MAP_SKIPIA_DUNGEON_BOSS_1	Подземелье пауков 1
MAP_SKIPIA_DUNGEON_BOSS_2	Подземелье пауков 2
MAP_SKIPIA_DUNGEON_BOSS_3	Подземелье пауков 3
MAP_SNOW	Гора Сохан
MAP_SPIDER	Куало Донг
MAP_SPIDERDUNGEON	Подземелье пауков 1
MAP_SPIDERDUNGEON_02	Подземелье пауков 2
MAP_SPIDERDUNGEON_02_1	Подземелье пауков 2
MAP_SPIDERDUNGEON_03	Подземелье пауков 3
MAP_SUNGZI	Битва Империй
MAP_SUNGZI_DESERT_01	Битва Империй-Пустынные земли
MAP_SUNGZI_DESERT_HILL_01	Битва Империй-Пустынные земли
MAP_SUNGZI_DESERT_HILL_02	Битва Империй-Пустынные земли
MAP_SUNGZI_DESERT_HILL_03	Битва Империй-Пустынные земли
MAP_SUNGZI_FLAME_HILL_01	Битва Империй-Огненные земли
MAP_SUNGZI_FLAME_HILL_02	Битва Империй-Огненные земли
MAP_SUNGZI_FLAME_HILL_03	Битва Империй-Огненные земли
MAP_SUNGZI_SNOW	Битва Империй-Ледяные земли
MAP_SUNGZI_SNOW_PASS01	Битва Империй-Ледяные земли
MAP_SUNGZI_SNOW_PASS02	Битва Империй-Ледяные земли
MAP_SUNGZI_SNOW_PASS03	Битва Империй-Ледяные земли
MAP_T1	Территория войны гильдий
MAP_T2	Территория войны гильдий
MAP_T3	Территория войны гильдий
MAP_T4	Территория войны гильдий
MAP_TEMPLE	Храм Хванг
MAP_THUNDER	Горы грома
MAP_TREE	Лунгсам
MAP_TRENT	Призрачный лес
MAP_TRENT02	Красный лес
MAP_TRENT02_A	Красный лес
MAP_TRENT_A	
MAP_WEDDING_01	Свадебная локация
MAP_WL	Змеиное поле
MAP_WL_01	Змеиное Поле
MC_ACCUMULATION_COUNT	Собрано карт монстров: %d
MC_ALTER_TEXT	Уровень задания %d
MC_CARD_FALL_SHORT	Зарегистрированных карт не хватает.
MC_CARD_SHUFFLE	Хотите выбрать новые карты?
MC_INIT_ITEM_FALL_SHORT	Вам нужны Карты рестарта: %d
MC_MISSION_FAIL_MSG	Нет активных заданий или превышен лимит.
MC_MISSION_INIT	Хотите поменять уровень задания на 1?
MC_MISSION_NO_CLEAR	Сначала нужно закончить задание.
MC_MOTION_BUTTON_OVER_MSG	Эта опция доступна только со 2 звезды.
MC_POLY_BUTTON_OVER_MSG	Эта опция доступна только с 3 звезды.
MC_POLY_FAIL	Сейчас вы не можете превратиться.
MC_POLY_QUESTION	Вы хотите превратиться в этого монстра?
MC_PROMOTION_MAX	Улучшение больше невозможно.
MC_PROMOTION_QUESTION	Хотите повысить уровень?
MC_QUESTION_BUTTON_DESC1	Изменение возможно только 6 раз в течение 24 часов.
MC_QUESTION_BUTTON_DESC2	Для каждого следующего изменения нужны Карты рестарта.
MC_QUESTION_BUTTON_DESC3	Нажмите сюда, чтобы узнать оставшееся время перезарядки.
MC_REWARD_FAIL	У вас недостаточно места в инвентаре.
MC_REWARD_MISSION	Хотите получить вашу карту монстра?
MC_SHUFFLE_NO_ITEM	У вас нет Карт изменения.
MC_TIME	Время перезарядки:%s
MC_TRADE_QUESTION	У вас пропадут карты: %d Хотите продолжить?
MC_USE_ITEM_FAIL	Эту карту нельзя добавить.
MC_USE_ITEM_QUESTION	Вы хотите добавить эту карту монстра?
MC_WARP_BUTTON_OVER_MSG	Эта опция доступна только с 4 звезды.
MC_WARP_FAIL	Вы больше не можете телепортироваться.
MC_WARP_LIMIT_LEVEL	Ваш текущий уровень недостаточно высок для телепортации.
MC_WARP_QUESTION	Вы хотите телепорт. в район обитания этого монстра?
MD_POPUP_MSG_1	Вы можете зайти только из Храма Зодиака.
MD_POPUP_MSG_2	Стражи Зодиака должны восстановить свои силы.\nДайте им время.
MD_SYSTEM_MSG_1	Вы не зомби. Вы не можете драться, когда мертвы.
MEDAL_OF_HONOR	Медаль за храбрость
MEDAL_OF_HONOR_SYSTEM_PICK	Получен предмет: Медаль за храбрость x %d
MESSENGER_ADD_BLOCK_FRIEND	Добавить
MESSENGER_ADD_FRIEND	Добавить друга
MESSENGER_BLOCK	Заблокировано
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s принял вас в список друзей.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Принять?
MESSENGER_DO_YOU_DELETE	Удалить?
